date,target_alloc,action,equity
2012-11-27,0.1,HOLD,2962079325.467771
2012-11-28,0.4,TRADE,2970044426.668709
2012-11-29,1.0,TRADE,2990507558.355749
2012-11-30,1.0,HOLD,2979701235.874053
2012-12-03,1.3,TRADE,2964913636.6885734
2012-12-04,1.3,HOLD,2940473976.4217253
2012-12-05,1.3,HOLD,2822133059.5173144
2012-12-06,1.3,HOLD,2890115890.540089
2012-12-07,1.3,HOLD,2825749707.042892
2012-12-10,1.3,HOLD,2858162033.269441
2012-12-11,1.3,HOLD,3003040371.0062237
2012-12-12,1.3,HOLD,2976382556.3811073
2012-12-13,1.3,HOLD,2889095583.285102
2012-12-14,1.3,HOLD,2781845349.478195
2012-12-17,1.3,HOLD,2925164631.576948
2012-12-18,1.3,HOLD,3101836294.8884053
2012-12-19,1.3,HOLD,3044124509.2991033
2012-12-20,1.3,HOLD,3047041878.559271
2012-12-21,1.3,HOLD,2925004032.8910637
2012-12-24,1.3,HOLD,2892350846.6517186
2012-12-26,1.3,HOLD,2802805550.501827
2012-12-27,1.3,HOLD,2782062748.385976
2012-12-28,1.3,HOLD,2675551869.182697
2012-12-31,1.3,HOLD,2908336050.279797
2013-01-02,1.3,HOLD,3262418704.329483
2013-01-03,1.3,HOLD,3202488751.6888556
2013-01-04,1.3,HOLD,3161782676.17713
2013-01-07,1.3,HOLD,3166098411.803657
2013-01-08,1.3,HOLD,3142398068.105532
2013-01-09,1.3,HOLD,3183763159.010886
2013-01-10,1.3,HOLD,3255442826.43376
2013-01-11,1.3,HOLD,3270929615.139021
2013-01-14,1.3,HOLD,3217573675.875243
2013-01-15,1.3,HOLD,3156164941.564022
2013-01-16,1.3,HOLD,3201966299.5343237
2013-01-17,1.3,HOLD,3264773394.7546425
2013-01-18,1.3,HOLD,3241073032.926542
2013-01-22,1.3,HOLD,3257917941.329219
2013-01-23,1.3,HOLD,3325900685.383035
2013-01-24,1.3,HOLD,3157281840.655328
2013-01-25,1.3,HOLD,3217870781.48861
2013-01-28,1.3,HOLD,3246585941.5343
2013-01-29,1.3,HOLD,3246545718.4505467
2013-01-30,1.3,HOLD,3224324094.7742276
